NAME,ENAME,CODE,ADDRESS,X,Y
厦门市,Xiamen,350200000000,福建省,118.11022,24.490474
莆田市,Putian,350300000000,福建省,119.007558,25.431011
三明市,Sanming,350400000000,福建省,117.635001,26.265444
泉州市,Quanzhou,350500000000,福建省,118.589421,24.908853
漳州市,Zhangzhou,350600000000,福建省,117.661801,24.510897
南平市,Nanping,350700000000,福建省,118.178459,26.635627
龙岩市,Longyan,350800000000,福建省,117.02978,25.091603
宁德市,Ningde,350900000000,福建省,119.527082,26.65924
南昌市,Nanchang,360100000000,江西省,115.892151,28.676493
景德镇市,Jingdezhen,360200000000,江西省,117.214664,29.29256
萍乡市,Pingxiang,360300000000,江西省,113.852186,27.622946
九江市,Jiujiang,360400000000,江西省,115.992811,29.712034
新余市,Xinyu,360500000000,江西省,114.930835,27.810834
鹰潭市,Yingtan,360600000000,江西省,117.033838,28.238638
赣州市,Ganzhou,360700000000,江西省,114.940278,25.85097
吉安市,Ji'an,360800000000,江西省,114.986373,27.111699
宜春市,Yichun,360900000000,江西省,114.391136,27.8043
抚州市,Fuzhou,361000000000,江西省,116.358351,27.98385
上饶市,Shangrao,361100000000,江西省,117.971185,28.44442
济南市,Jinan,370100000000,山东省,117.000923,36.675807
青岛市,Qingdao,370200000000,山东省,120.369557,36.094406
淄博市,Zibo,370300000000,山东省,118.047648,36.814939
枣庄市,Zaozhuang,370400000000,山东省,117.557964,34.856424
东营市,Dongying,370500000000,山东省,118.4963,37.461266
烟台市,Yantai,370600000000,山东省,121.391382,37.539297
潍坊市,Weifang,370700000000,山东省,119.107078,36.70925
济宁市,Jining,370800000000,山东省,116.587245,35.415393
泰安市,Tai'an,370900000000,山东省,117.129063,36.194968
威海市,Weihai,371000000000,山东省,122.116394,37.509691
日照市,Rizhao,371100000000,山东省,119.461208,35.428588
莱芜市,Laiwu,371200000000,山东省,117.677736,36.214397
临沂市,Linyi,371300000000,山东省,118.326443,35.065282
德州市,Dezhou,371400000000,山东省,116.307428,37.453968
聊城市,Liaocheng,371500000000,山东省,115.980367,36.456013
滨州市,Binzhou,371600000000,山东省,118.016974,37.383542
菏泽市,Heze,371700000000,山东省,115.469381,35.246531
郑州市,Zhengzhou,410100000000,河南省,113.665412,34.757975
开封市,Kaifeng,410200000000,河南省,114.341447,34.797049
洛阳市,Luoyang,410300000000,河南省,112.434468,34.663041
平顶山市,Pingdingshan,410400000000,河南省,113.307718,33.735241
安阳市,Anyang,410500000000,河南省,114.352482,36.103442
鹤壁市,Hebi,410600000000,河南省,114.295444,35.748236
新乡市,Xinxiang,410700000000,河南省,113.883991,35.302616
焦作市,Jiaozuo,410800000000,河南省,113.238266,35.23904
濮阳市,Puyang,410900000000,河南省,115.041299,35.768234
许昌市,Xuchang,411000000000,河南省,113.826063,34.022956
漯河市,Luohe,411100000000,河南省,114.026405,33.575855
三门峡市,Sanmenxia,411200000000,河南省,111.194099,34.777338
南阳市,Nanyang,411300000000,河南省,112.540918,32.999082
商丘市,Shangqiu,411400000000,河南省,115.650497,34.437054
信阳市,Xinyang,411500000000,河南省,114.075031,32.123274
周口市,Zhoukou,411600000000,河南省,114.649653,33.620357
驻马店市,Zhumadian,411700000000,河南省,114.024736,32.980169
武汉市,Wuhan,420100000000,湖北省,114.298572,30.584355
黄石市,Huangshi,420200000000,湖北省,115.077048,30.220074
十堰市,Shiyan,420300000000,湖北省,110.785239,32.647017
宜昌市,Yichang,420500000000,湖北省,111.290843,30.702636
襄阳市,Xiangyang,420600000000,湖北省,112.144146,32.042426
鄂州市,Ezhou,420700000000,湖北省,114.890593,30.396536
荆门市,Jingmen,420800000000,湖北省,112.204251,31.03542
孝感市,Xiaogan,420900000000,湖北省,113.926655,30.926423
荆州市,Jingzhou,421000000000,湖北省,112.23813,30.326857
黄冈市,Huanggang,421100000000,湖北省,114.879365,30.447711
咸宁市,Xianning,421200000000,湖北省,114.328963,29.832798
随州市,Suizhou,421300000000,湖北省,113.37377,31.717497
恩施土家族苗族自治州,Enshi,422800000000,湖北省,109.48699,30.283114
长沙市,Changsha,430100000000,湖南省,112.982279,28.19409
株洲市,Zhuzhou,430200000000,湖南省,113.151737,27.835806
湘潭市,Xiangtan,430300000000,湖南省,112.925083,27.846725
衡阳市,Hengyang,430400000000,湖南省,112.607693,26.900358
邵阳市,Shaoyang,430500000000,湖南省,111.46923,27.237842
岳阳市,Yueyang,430600000000,湖南省,113.132855,29.37029
常德市,Changde,430700000000,湖南省,111.691347,29.040225
张家界市,Zhangjiajie,430800000000,湖南省,110.479921,29.127401
益阳市,Yiyang,430900000000,湖南省,112.355042,28.570066
郴州市,Chenzhou,431000000000,湖南省,113.032067,25.793589
永州市,Yongzhou,431100000000,湖南省,111.608019,26.434516
怀化市,Huaihua,431200000000,湖南省,109.97824,27.550082
